task_id,iot_id,task_type,task_size_MB,task_gen_time,cpu_frequency_GHz,cpu_cycles_per_bit,IPC,capability_MIPS,delay_deadline_ms,energy_available_mAh,Battery_Level_%,Vibration_G,Signal_Strength_dBm,task_priority_score,Location_Lat,Location_Lon,distance_m,channel_gain_dB,bandwidth_MHz_x,uplink_data_rate_Mbps,uplink_power_transfer_mW,energy_deadline_mJ,Priority_Score,closest_uav_id,mec_uav_lat,mec_uav_lon,mec_uav_area_name,mec_uav_cpu_GHz,mec_uav_obstacle_distance_m,mec_uav_remaining_energy_mAh,mec_uav_weather_condition,mec_uav_temperature_c,mec_uav_humidity_pct,mec_uav_wind_speed_mps,mec_uav_visibility_km,mec_uav_precipitation_mmh,bandwidth_MHz_y,uplink_rate_Mbps,downlink_rate_Mbps,aec_storage_GB,aec_ram_GB
T1384,D0,Sensor,85.78,2025-01-01 01:21:35,1.09,96278.37,0.68,741.2,1384,1903.76,60.5,0.58,-56.0,0.42,23.745174648266254,90.43527314960868,7603.343224030786,-177.36095169684765,1.6051842843842064,0.3618313150703217,107.68,66070068.63,0.52209806,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1882,D0,Sensor,41.17,2025-01-01 11:51:25,0.55,182525.4,2.15,1182.5,1630,2838.68,89.9,0.82,-95.0,0.93,23.745174648266254,90.43527314960868,7603.343224030786,-176.88428323562792,3.7158316591693294,0.4890470172173505,116.43,60116565.74,0.50657886,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4902,D0,AI,136.19,2025-01-01 03:25:29,1.18,81052.3,1.5,1770.0,877,2488.86,50.4,1.14,-87.0,0.17,23.745174648266254,90.43527314960868,7603.343224030786,-177.4208092569159,6.860371471001153,0.118069128795842,113.38,88308101.9,0.4665577,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1525,D0,Sensor,36.18,2025-01-01 15:20:49,5.0,228063.02,2.41,939.9,10000,8434.95,66.0,11.592060588272544,-50.1323377779994,0.93,23.745174648266254,90.43527314960868,7603.343224030786,-178.92677533123546,7.939530209417363,0.499230835570347,123.38,22003520.17,0.701455,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4655,D0,Video,241.76,2025-01-01 09:48:18,1.81,62526.68,1.14,2063.4,1101,609.85,49.4,1.02,-69.0,0.63,23.745174648266254,90.43527314960868,7603.343224030786,-173.74692137097986,8.35642173586271,0.3745443505821473,107.42,120931601.25,0.6966052,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T961,D0,AI,125.92,2025-01-01 05:04:28,0.94,89602.75,1.78,1673.2,242,1934.85,72.0,0.11,-82.0,0.45,23.745174648266254,90.43527314960868,7603.343224030786,-171.82499603078438,7.966731163817893,0.2553521093348193,137.77,90262226.24,0.6104481,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T432,D0,Sensor,80.27,2025-01-01 12:52:12,0.97,84872.73,2.49,2415.3,1279,1032.59,54.4,1.42,-94.0,0.72,23.745174648266254,90.43527314960868,7603.343224030786,-179.4746959532342,3.914125829305444,0.1686034556603359,104.66,54501872.3,0.447243,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T377,D0,Sensor,55.85,2025-01-01 11:36:19,1.99,56562.22,1.73,3442.7,1444,1946.91,62.2,1.71,-62.0,0.75,23.745174648266254,90.43527314960868,7603.343224030786,-175.1065497136941,7.246801223226998,0.3329158784054917,105.26,25271999.9,0.5827834,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T298,D0,Sensor,89.79,2025-01-01 07:25:15,0.95,92405.16,1.24,1178.0,1181,2517.11,78.7,1.15,-63.0,0.33,23.745174648266254,90.43527314960868,7603.343224030786,-178.24933419042543,9.72170879880145,0.1396,94.74,66376474.53,0.5302794,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T717,D0,Video,20.2145,2025-01-01 16:29:13,0.01,227734.63,1.15,529.0,10000,5886.12,35.9,11.739097683483426,-76.49200222948232,0.96,23.745174648266254,90.43527314960868,7603.343224030786,-174.26321528765644,2.2285145093117045,0.4760501066858941,111.6,736566668.5,0.43311545,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
