task_id,iot_id,task_size_MB,cpu_frequency_GHz,cpu_cycles_per_bit,delay_deadline_ms,Location_Lat,Location_Lon,distance_m,uplink_data_rate_Mbps,uplink_power_transfer_mW,offload_ratio,energy_deadline_mJ,task_gen_time_ms,Priority_Score,closest_mec_uav_id,mec_uav_lat,mec_uav_lon,closest_mec_uav_area,mec_uav_cpu_GHz,mec_uav_obstacle_distance_m,mec_uav_remaining_energy_mAh,mec_uav_weather_condition,mec_uav_wind_speed_mps,mec_uav_visibility_km,mec_uav_precipitation_mmh,mec_uav_humidity_pct,mec_uav_temperature_c
T1384,D0,84.36,1.09,96278.37,1384,23.745174648266254,90.43527314960868,7603.343224030786,0.3618313150703217,107.68,0.66,64976346.35,1735694495000.0,0.41807228,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1882,D0,35.29,0.55,182525.4,1630,23.745174648266254,90.43527314960868,7603.343224030786,0.4890470172173505,116.43,0.78,51530570.93,1735732285000.0,0.6390236,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4902,D0,617.13,1.18,81052.3,877,23.745174648266254,90.43527314960868,7603.343224030786,0.118069128795842,113.38,0.48,400158447.19,1735701929000.0,0.56249577,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1525,D0,9.81,5.0,228063.02,10000,23.745174648266254,90.43527314960868,7603.343224030786,0.499230835570347,123.38,0.79,5966128.6,1735744849000.0,0.34347993,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4655,D0,536.64,1.81,62526.68,1101,23.745174648266254,90.43527314960868,7603.343224030786,0.3745443505821473,107.42,0.72,268434540.44,1735724898000.0,0.59168243,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T961,D0,555.53,0.94,89602.75,242,23.745174648266254,90.43527314960868,7603.343224030786,0.2553521093348193,137.77,0.61,398216125.66,1735707868000.0,0.63759136,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T432,D0,78.3,0.97,84872.73,1279,23.745174648266254,90.43527314960868,7603.343224030786,0.1686034556603359,104.66,0.47,53164278.07,1735735932000.0,0.3219577,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T377,D0,51.43,1.99,56562.22,1444,23.745174648266254,90.43527314960868,7603.343224030786,0.3329158784054917,105.26,0.63,23271959.8,1735731379000.0,0.4416848,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T298,D0,88.77,0.95,92405.16,1181,23.745174648266254,90.43527314960868,7603.343224030786,0.1396,94.74,0.45,65622448.43,1735716315000.0,0.5638119,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T717,D0,72.88300000000001,0.01,227734.63,10000,23.745174648266254,90.43527314960868,7603.343224030786,0.4760501066858941,111.6,0.92,2655677286.13,1735748953000.0,0.53164464,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3988,D0,11.86,1.14,86118.5,709,23.745174648266254,90.43527314960868,7603.343224030786,0.1329913121420173,107.06,0.43,8170923.28,1735718900000.0,0.5215803,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
